Date,Open,High,Low,Close,Adj Close,Volume
2023-06-08,423.950012,425.700012,417.700012,418.250000,415.536743,5571023
2023-06-09,421.850006,421.850006,414.500000,415.049988,412.357483,3518826
2023-06-12,417.950012,421.000000,414.000000,416.799988,414.096130,2813911
2023-06-13,419.000000,424.000000,416.899994,421.399994,418.666290,4247391
2023-06-14,427.000000,430.000000,424.149994,425.049988,422.292603,7213168
2023-06-15,424.899994,425.649994,420.750000,423.049988,420.305573,4863359
2023-06-16,427.700012,431.450012,425.799988,426.950012,424.180298,7931068
2023-06-19,424.250000,432.000000,423.049988,426.149994,423.385468,3950931
2023-06-20,426.149994,433.250000,423.049988,428.950012,426.167328,5090801
2023-06-21,428.950012,429.700012,418.100006,420.950012,418.219238,5689533
2023-06-22,421.899994,425.399994,416.200012,420.049988,417.325043,3566261
2023-06-23,416.000000,416.950012,407.450012,408.500000,405.849976,5403772
2023-06-26,410.000000,416.000000,408.200012,414.700012,412.009766,4460980
2023-06-27,416.000000,419.299988,414.000000,417.750000,415.039978,3047635
2023-06-28,417.750000,417.750000,417.750000,417.750000,415.039978,0
2023-06-30,419.850006,422.649994,414.649994,420.950012,418.219238,4115005
2023-07-03,424.000000,428.750000,422.100006,425.649994,422.888733,3693861
2023-07-04,427.950012,428.950012,423.149994,425.799988,423.037750,2721964
2023-07-05,425.000000,427.399994,419.350006,421.500000,418.765656,4783528
2023-07-06,418.950012,428.000000,417.149994,426.399994,423.633850,5021705
2023-07-07,423.899994,425.000000,418.500000,422.700012,419.957886,6769909
2023-07-10,423.000000,436.200012,423.000000,427.850006,425.074463,6502214
2023-07-11,429.250000,431.850006,424.000000,424.649994,421.895203,3055356
2023-07-12,425.500000,428.100006,422.250000,424.850006,422.093933,2854995
2023-07-13,430.200012,439.500000,430.200012,435.200012,432.376801,11590791
2023-07-14,441.000000,448.500000,439.600006,446.950012,444.050568,10801568
2023-07-17,447.799988,454.149994,443.399994,447.100006,444.199585,8441112
2023-07-18,447.000000,449.000000,442.200012,444.500000,441.616455,3963196
2023-07-19,444.000000,444.399994,438.500000,439.200012,436.350830,5062700
2023-07-20,442.000000,442.899994,438.250000,441.549988,438.685577,5156038
